FECHA,VENTANILLA,ETOTAL,EPASADA,EREGULACION,EGNCAMISEA,EGNMALACAS,EGNAGUAYTIA,EDIESEL,ERESIDUAL,EBAGAZO,EBIOGAS,ESOLAR,EEOLICO,DNORTE,DCENTRO,DEMSUR,PRESIONV,TEMPV,DISPGNV
43526.39583,202.17637,6433.46761,1049.52791,3024.08856,1838.1842,0,61.15,101.73487,22.2,6.175,8.05,224.83537,97.5217,915.01466,4126.39967,1392.05328,4263.076,24.825,950
43526.41667,202.23518,6487.85091,1039.35412,2995.76055,1894.3091,0,81.29,99.15517,22.6,6.195,8.05,238.86137,102.2756,932.17731,4129.01504,1426.65856,4318.784,25.725,950
43526.4375,201.94139,6608.52984,1052.06244,3089.24737,1936.05737,0,80.91,102.11795,22.6,6.165,9.25,201.59274,108.52697,946.58322,4222.86243,1439.08419,4318.784,25.725,950
43526.45833,202.54226,6556.99614,1032.45386,2930.15729,2053.60556,0,80.9,101.66638,22.6,6.205,9.2,192.04535,128.1627,949.16539,4175.03135,1432.7994,4285.336,26.3,950
43526.47917,202.74986,6545.21615,1033.13746,3031.73054,1950.4229,0,80.41,100.46902,22.6,6.105,9.2,168.04848,143.09275,948.26865,4142.77618,1454.17132,4285.336,26.3,950
43526.5,202.11933,6551.05993,1045.80302,3065.87856,1887.6125,0,78.24,101.92348,22.9,5.86,9.2,173.34531,160.29706,930.86346,4177.48972,1442.70675,4257.894,25.975,950
43526.52083,201.88322,6488.99633,1039.57378,3043.8936,1915.1008,0,0,101.52527,22.5,5.915,9,166.17118,185.3167,912.73287,4159.14012,1417.12334,4257.894,25.975,950
43526.54167,199.85561,6436.8962,1050.35643,3076.4477,1753.94797,0,0,101.21885,23,5,9,212.80573,205.11952,929.40753,4098.40391,1409.08476,4260.249,27,950
43526.5625,179.53694,6396.68603,1044.24007,3043.07223,1761.29863,0,0,100.31278,22.2,4.425,8.95,188.5491,223.63822,902.70427,4057.88965,1436.09211,4260.249,27,950
43526.58333,180.18974,6366.3626,1044.4358,3030.00021,1733.62049,0,0,102.37919,22.3,5.465,8.95,195.91229,223.29962,909.22153,4031.22759,1425.91348,4291.93,28.95,950
43526.60417,179.31276,6417.83065,1044.64961,3032.67128,1749.42819,0,0,101.43263,22.5,5.27,8.95,232.84686,220.08208,926.87081,4034.30483,1456.65501,4291.93,28.95,950
43526.625,178.87766,6392.77614,1050.20185,3079.52572,1677.73201,0,0,101.18943,22.6,5.685,8.85,219.94467,227.04746,914.60245,4026.13235,1452.04134,4330.09,29.675,950
43526.64583,179.16026,6318.57706,1040.18355,3041.57854,1664.3553,0,0,100.93795,22.8,5.585,8.85,206.29953,227.98719,914.65519,3925.90384,1478.01803,4330.09,29.675,950
43526.66667,178.47694,6357.27711,1037.70834,3055.46874,1700.5751,0,0,100.98115,22.5,5.685,8.85,183.05652,242.45226,886.07684,3982.41423,1488.78604,4350.583,29.3,950
43526.6875,179.96516,6299.51614,1033.61849,3048.33279,1710.69099,0,0,101.61286,22.7,5.745,8.85,127.52437,240.44164,874.20203,3937.74116,1487.57295,4350.583,29.3,950
43526.70833,179.48488,6260.18636,1043.57851,3060.20301,1746.68051,0,0,101.56763,22.6,5.845,8.85,35.68887,235.17283,854.90284,3913.35775,1491.92577,4335.39,27.175,950
43526.72917,179.39541,6193.47146,1047.63602,3070.97399,1708.24598,0,0,100.86492,22.5,5.685,9.45,6.08965,222.0259,801.35045,3860.38957,1531.73144,4335.39,27.175,950
43526.75,178.93347,6347.75262,1046.21147,3068.18254,1867.66733,0,0,101.23,22.4,5.05,9.45,0.02,227.54128,807.24597,3940.53693,1599.96972,4314.661,26.45,950
43526.77083,200.65275,6632.82656,1040.88948,3099.81625,2141.86485,0,0,103.0583,24.7,0,9.45,0,213.04768,894.76318,4136.487,1601.57638,4314.661,26.45,950
43526.79167,202.28271,6720.34497,1043.84224,3115.37955,2203.62553,0,0,102.60822,24.9,0,9.45,0,220.53943,945.5151,4174.0552,1600.77467,4304.768,26.3,950
43526.8125,210.19103,6676.73852,1045.22965,3108.10543,2181.96494,0,0,103.18416,25.4,0,9.45,0,203.40434,939.0405,4152.52147,1585.17655,4304.768,26.3,950
43526.83333,211.8586,6729.52442,1051.62055,3111.98869,2236.74093,0,0,101.35506,25.5,0,9.45,0,192.86919,915.90028,4201.64281,1611.98133,4279.446,26.35,950
43526.85417,213.62384,6697.68501,1053.46116,3119.36899,2213.0365,0,0,102.56293,25.4,0,9.5,0,174.35543,913.39996,4185.53573,1598.74932,4279.446,26.35,950
43526.875,213.36535,6653.85945,1038.01194,3100.56336,2220.23594,0,0,102.22411,25.4,0.74257,9.5,0,157.18153,898.60203,4162.09202,1593.1654,4269.671,26.6,950
43526.89583,203.54076,6605.3649,1036.78994,3100.12436,2188.39519,0,0,103.41302,25.2,4.10499,9.5,0,137.8374,919.34112,4126.62014,1559.40364,4269.671,26.6,950
43526.91667,203.77125,6383.62831,1030.3612,3082.5297,1997.91089,0,0,102.16188,25.5,5.21614,9.5,0,130.4485,893.13817,3952.09415,1538.39599,4300.764,26.675,950
